SOH,Voltage,Time
0.997279189,4.205534458,12.54984094
0.995009918,4.181502833,13.57404593
0.992741054,4.157471208,14.59825092
0.990470887,4.133439582,15.62245591
0.988201081,4.109375518,16.6480434
0.985930914,4.085224305,17.67734511
0.983660748,4.061123728,18.70448873
0.981390581,4.036903506,19.73673151
0.979120414,4.012678379,20.76918336
0.976851106,3.988646754,21.79338835
0.974580939,3.964492752,22.82280889
0.972311948,3.940442584,23.84780414
0.970042317,3.916305355,24.87650986
0.96777215,3.892114735,25.90749104
0.965501983,3.868063938,26.93251311
0.963231817,3.843856946,27.96419204
0.960963674,3.819825321,28.98839703
0.958693507,3.795564488,30.02237065
0.956425354,3.771532862,31.04657564
0.954156703,3.747393011,32.07539311
0.951888722,3.723361385,33.09959811
0.949618555,3.699293802,34.12533556
0.947349245,3.675104317,35.1562684
0.945079587,3.651072692,36.18047339
0.94280942,3.626925771,37.20959214
0.940540693,3.602894146,38.23379713
0.938270526,3.578815197,39.26001899
0.936001377,3.554783571,40.28422398
0.933732158,3.530737463,41.3090462
0.931464458,3.506657417,42.33531483
0.929196032,3.482471646,43.36608936
0.926928301,3.458327633,44.39508423
0.924658353,3.434296007,45.41928922
0.922389338,3.410264382,46.44349421
0.920119171,3.386191938,47.46943882
0.917849004,3.362156259,48.4938166
0.915578837,3.338064584,49.52058083
0.913309973,3.314032958,50.54478582
0.911039807,3.290001333,51.56899081
0.908771244,3.265787466,52.60096275
0.906501077,3.241519338,53.63524727
0.904233076,3.217487712,54.65945227
0.901962909,3.193456087,55.68365726
0.899694168,3.169424461,56.70786225
0.897424001,3.145392836,57.73206724
0.895154693,3.121305596,58.75864246
0.892884527,3.09727397,59.78284745
0.890614444,3.073197309,60.80897184
0.888346109,3.049038255,61.83860771
0.886075942,3.02479761,62.87172089
0.883808347,3.000765985,63.89592588
0.88153818,2.976723066,64.92061217
0.879269108,2.952691441,65.94481716
0.876998941,2.928659815,66.96902215
0.87473134,2.904556233,67.99629387
0.872463211,2.880518073,69.02077736
0.870194928,2.856432297,70.04729018
